,org_number,name,construction_year,housing_coop_id
70,702000-3203,BRF Carolus,1907.0,49800
71,702000-3286,Central-BRF i Stockholm,1884.0,82465
72,702000-3591,BRF Dalagård,1905.0,269795
73,702000-3609,BF Dalagården UPA,1902.0,272746
74,702000-3740,BRF Diana 8,1928.0,50115
75,702000-3757,BRF Diana N:o 7 ,1915.0,261929
76,702000-3880,BRF Dockskåpet n:r 2,1933.0,269308
77,702000-3989,BRF Drivbänken nr 1,1920.0,71938
78,702000-4078,HSB BRF Dynan i Stockholm,1944.0,56940
79,702000-4086,BF Döbeln UPA,1902.0,270405
80,702000-4177,BRF Egen Härd,1904.0,55456
81,702000-4185,BRF Eget Hem KV Kikaren,1888.0,134891
82,702000-4193,BRF Egnahem,1955.0,266944
83,702000-4235,BF Eken nr 7 u.p.a.,1929.0,44625
84,702000-4243,BRF Eken nr 4,1906.0,57157
85,702000-4250,Bf Eken Nr 6 u.p.a.,,274295
86,702000-4268,BF Eken No 3 U.p.a.,,61586
87,702000-4276,BF Eken nr 5 u.p.a.,,82757
88,702000-4292,BF Eken nr 2 u.p.a,,60586
89,702000-4300,BRF Kungsbacken 11,,44249
90,702000-4326,BRF Eken 18,1928.0,80979
91,702000-4334,BRF Eken nr 9,1928.0,57741
92,702000-4342,BRF Eken Nr 15,,78850
93,702000-4359,BRF Eken 17,1927.0,49553
94,702000-4367,BRF Eken nr 14,1934.0,82400
95,702000-4375,BRF Eken Nr 16,,270551
96,702000-4391,BRF Eken N:r 12,1932.0,259811
97,702000-4409,BRF Eken 11,,55833
98,702000-4417,BRF Eken Nr 8,1926.0,48114
99,702000-4433,BRF Eken Nr 26,,49829
100,702000-4441,BRF Eken 23,1955.0,79464
101,702000-4458,BRF Eken nr:25,1959.0,267661
102,702000-4466,BRF Eken 21,1948.0,78988
103,702000-4474,BRF Eken 22,,275996
104,702000-4482,BRF Eken nr 19,1945.0,79738
105,702000-4490,BRF Eken 20,,259927
106,702000-4565,BRF Ekorren nr 14,1952.0,277606
107,702000-4623,Bostadsföreningen Eldaren Nr 6 upa,,269774
108,702000-4631,BRF Eldaren i Stockholm,1913.0,55959
109,702000-4649,BF Eldaren 1 u.p.a,1911.0,80706
110,702000-4813,BF Engelbrekt,1914.0,268150
111,702000-4904,HSB BRF Entitan i Stockholm,1946.0,49601
112,702000-4961,BRF Erik,,82426
113,702000-4987,BRF Eriksbergsparken,,80817
114,702000-4995,BRF Eriksberg 11,1929.0,268143
115,702000-5018,HSB BRF Erland i Stockholm,1960.0,44693
116,702000-5166,HSB BRF Etsningen i Stockholm,1946.0,81934
117,702000-5299,BRF Facklan,1898.0,272596
118,702000-5349,BRF Fajansen nr 9,,45461
119,702000-5380,BRF Falugård,1925.0,267359
120,702000-5521,BRF Fatburen,,77735
121,702000-5539,HSB BRF Fatet i Stockholm,1923.0,46285
122,702000-5810,BRF Husbåten,1921.0,80429
123,702000-5844,BF Flora UPA,1913.0,83097
124,702000-5851,BRF Flora nr 10,1962.0,48004
125,702000-5877,HSB BRF Flottiljen i Stockholm,1944.0,51805
126,702000-5893,BRF Flundran,1953.0,110192
127,702000-5976,Svenska Folkbyggen BRF Nr 3 i Stockholm,,80162
128,702000-5984,Svenska Folkbyggen BRF nr 6 i Sthlm,1946.0,55849
129,702000-5992,BRF Svenska Folkbyggen nr 2,1944.0,268345
130,702000-6016,BRF Folke,,82470
131,702000-6115,BF Folkungajarlen U.P.A.,1906.0,267876
132,702000-6149,BRF Formen 1,1902.0,80019
133,702000-6156,BRF Formen VI,1929.0,79414
134,702000-6172,BRF Fotbollen nr 1,,80837
135,702000-6180,BF Fram UPA,,81396
136,702000-6248,BRF Framtiden i Enskede,,45244
137,702000-6305,HSB BRF Fredhäll i Stockholm,1931.0,49234
138,702000-6354,BRF Frej,1886.0,78525
139,702000-6362,BF Freja UPA,,269645
140,702000-6735,BF Fylgia upa,,80813
141,702000-6743,BRF Fylgia nr. 1,1929.0,79152
142,702000-6750,BF Fyrbåken UPA,1905.0,80223
143,702000-6768,BRF Fyris Vasastan,1899.0,78974
144,702000-6800,BF Fyrtornet u.p.a.,1915.0,86448
145,702000-6818,BRF Fyrväpplingen,,270188
146,702000-6826,BRF Fågelbärsträdet,1935.0,266697
147,702000-6834,BRF Fågelbacken,1953.0,43895
148,702000-6867,BRF Fältprästen Nr 12,1951.0,54369
149,702000-6875,BF nr 3 kvarteret Fänriken u.p.a.,1916.0,48738
150,702000-6909,HSB BRF Färjan,1930.0,46014
151,702000-6941,BRF Förarsätet Nr 10,1954.0,266991
152,702000-6958,BRF Föreläsningen nr 2,,82686
153,702000-6982,BRF Föreläsningen 8,,274940
154,702000-7097,HSB BRF Förmannen i Stockholm,1940.0,51566
155,702000-7170,BRF Gardet,1958.0,267187
156,702000-7634,BRF Gjutaren  Nr 14,1905.0,57809
157,702000-7642,HSB BRF Gjutaren i Stockholm,1927.0,218655
158,702000-7782,BF Gnistan UPA,,270055
159,702000-7790,BRF Gobelängen 2,1943.0,167911
160,702000-7857,BRF Good Templar,,53633
161,702000-7899,BRF Granen nr 9,,79859
162,702000-7907,BRF Rosen 12,,50101
163,702000-7949,HSB BRF Gransätra i Stockholm,1965.0,55665
164,702000-7964,BRF Gref Ture,1885.0,79655
165,702000-7998,HSB BRF Grindstugan i Stockholm,1945.0,268206
166,702000-8012,BRF Gråberget nr 19,1930.0,57240
167,702000-8020,HSB BRF Grängen i Stockholm,1947.0,51714
168,702000-8046,BF Gröndalsgården U.P.A.,1911.0,273593
169,702000-8111,BF Gullvivan u p a,1888.0,47372
170,702000-8129,BRF Gullvivan 4,,79210
171,702000-8145,BRF Gullvivan,1885.0,83532
172,702000-8152,HSB BRF Gunilla i Stockholm,1961.0,50146
173,702000-8194,HSB BRF Göken i Stockholm,1930.0,76717
174,702000-8269,BRF Rörstrand 6,,49615
175,702000-8301,HSB BRF Hammarsmedjan i Stockholm,1946.0,54087
176,702000-8368,BRF Hammarbydalen,,46805
177,702000-8418,BRF Hansa No. 1 i Stockholm,1906.0,48209
178,702000-8525,BRF Haubitsen 2 i Stockholm,1939.0,53612
179,702000-8533,BRF Haubitsen,1938.0,78123
180,702000-8541,BRF Havsfrun,,268247
181,702000-8582,BRF Hedenbacken Större 7 u.p.a.,1943.0,58540
182,702000-8590,BF Hedvig U P A,1898.0,83163
183,702000-8608,BRF Heimdal N:O 5 Upa,1888.0,83121
184,702000-8616,BRF Heimdal 6 i Stockholm,,266794
185,702000-8624,BF Heimdal nr 3 u.p.a,,268902
186,702000-8632,BRF Heimdal Nr 4,1902.0,57904
187,702000-8640,BF Heimdal nr 1 UPA,1906.0,81090
188,702000-8673,BRF Heleneborgsgatan 46,,267713
189,702000-8681,BRF Heleneborgsparken,,48849
190,702000-8731,BF Hemgården U.p.a.,1921.0,47238
191,702000-8830,BRF Hemtrefnad,1907.0,46881
192,702000-8897,BRF Hinden 18,1878.0,277704
193,702000-8913,Bf Hjorten 11 upa,1880.0,277049
194,702000-8921,BRF Hjorthagshöjden,1937.0,48574
195,702000-8954,BRF Hjorthagshus,1935.0,44232
196,702000-8962, BRF Hjälmö i HSB Stockholm,1961.0,52465
197,702000-9010,BRF Hoppet nr 1,,270822
198,702000-9028,BRF Hoppet Astraea,1882.0,269713
199,702000-9051,BRF Hornlampetten,,47487
200,702000-9069,BF Hornsgården U.P.A.,,190379
201,702000-9093,BRF Hugin 27 ,1924.0,83204
202,702000-9101,BRF Hugin 26,1923.0,80088
203,702000-9119,BRF Hugin 23,1926.0,81479
204,702000-9127,BRF Hugin 24,1923.0,267968
205,702000-9135,Bf Hugin N:ris 8 Och 9 U.p.a.,1919.0,271202
206,702000-9143,BRF Humlegården u.p.a.,1929.0,49594
207,702000-9150,HSB BRF Humleboet 17 i Stockholm,1925.0,49841
208,702000-9283,BRF Hvilan,,83897
209,702000-9424,BF Häggen nr 6 u.p.a,,277682
210,702000-9481,BRF Härolden 11,1886.0,274533
211,702000-9556,BF Högalid U.P.A.,,82010
212,702000-9564,BRF Högborgen,1938.0,57854
213,702000-9572,HSB BRF Högdalen i Stockholm,1955.0,47263
214,702000-9648,BRF Högsäter,1893.0,84092
215,702000-9671,Bf Höken N:o 20 U.p.a.,1909.0,48539
216,702000-9689,HSB BRF Höken i Stockholm,1963.0,240326
217,702000-9754,BF Idog u.p.a,,55311
218,702000-9770,BRF Idun Stockholm,1903.0,79758
219,702000-9788,BRF Igeldammen,1932.0,276343
220,702000-9960,BRF Ingemar 8,1891.0,106808
221,702001-0174,BRF Italien,1927.0,78524
222,702001-0273,BRF Jaktvarvet,1932.0,77530
223,702001-0315,BRF Johanneshov Nr 1,1943.0,61762
224,702001-0372,BRF Juliaborg,,80741
225,702001-0422,BRF Jungfrusländan,1942.0,82678
226,702001-0430,BRF Juno,1905.0,43609
227,702001-0521,BRF Järnheden,1945.0,46951
228,702001-0554,BRF Järnvägsmannen i Stockholm,,47914
229,702001-0570,HSB BRF Jäverö i Stockholm,1961.0,52290
230,702001-0596,BF Kadetten 22 upa,1913.0,46340
231,702001-0604,BRF Kadetten 9,1906.0,60261
232,702001-0612,BRF Kadetten,1910.0,82827
233,702001-0620,BRF Kadetten 14,1906.0,43611
234,702001-0653,HSB BRF Kalkonen i Stockholm,1938.0,51496
235,702001-0687,BRF Kamelian 10,1899.0,273846
236,702001-0695,BRF Kamelian 7,1992.0,83494
237,702001-0703,BF Kamelian nr 6 u.p.a,1910.0,82872
238,702001-0729,HSB BRF Kampementsbacken,1963.0,59172
239,702001-0745,HSB BRF Kannan i Stockholm,1925.0,44930
240,702001-0836,BF Karlavagnen u.p.a,1883.0,49933
241,702001-0851,BRF Karlavagnen 9,,268607
242,702001-0869,BRF Karlberg 56,1909.0,58274
243,702001-0885,BF Karlsvik 21,,52753
244,702001-0919,HSB BRF Karolinerna i Stockholm,1938.0,48336
245,702001-0935,BRF Karteschen N:r 6,1939.0,54220
246,702001-1115,BRF Kejsarkronan 30,1906.0,267668
247,702001-1123,BRF Trumpetaren,,60198
248,702001-1149,BF Kettingen No 3 U.P.A.,1904.0,79372
249,702001-1156,BRF Kettingen 1,,79747
250,702001-1206,BRF Killingen 15,1889.0,275182
251,702001-1214,BRF Killingen 11 ,1905.0,237444
252,702001-1347,BRF Knoppen 20,1903.0,119786
253,702001-1354,BRF Knoppen 21,1903.0,50192
254,702001-1388,HSB BRF Kolmilan i Stockholm,1961.0,49849
255,702001-1396,BRF Kolonnaden nr 3,1942.0,79579
256,702001-1503,BRF Konstgjutaren 5,1944.0,82706
257,702001-1537,BRF Konstgjutaren Nr 7,1943.0,82705
258,702001-1552,BRF Konstsmidet nr 1,1943.0,54977
259,702001-1586,BRF Konstgjutaren8,1944.0,56425
260,702001-1867,BRF Kopparn i Stockholm,1924.0,267744
261,702001-1891,HSB BRF Korsriddaren i Stockholm,1945.0,56290
262,702001-2055,BRF Kronkvarnen ,,269980
263,702001-2063,BRF Kronobergsgården,,79788
264,702001-2071,BRF Kronobergsparken,1929.0,83294
265,702001-2089,BF Kronoberg upa,1911.0,274040
266,702001-2105,BF Krukmakareberget u.p.a.,1909.0,271597
267,702001-2220,BRF Kungstuben,1886.0,80910
268,702001-2253,BRF Kungsklippan i Stockholm,1938.0,49335
269,702001-2279,BRF Kungsholmen,1898.0,46877
270,702001-2295,BRF Kungsgården nr 1,,83149
271,702001-2311,BRF Kupolen 5,1942.0,242561
272,702001-2444,BRF Källan,,271806
273,702001-2469,BRF Kättingen 5,1943.0,82466
274,702001-2477,BRF Kättingen 25,1905.0,82593
275,702001-2485,BRF Kettingen nr 2,,272729
276,702001-2584,BRF Ladulås,1907.0,273345
277,702001-2600,BRF Lagerbiträdet,1957.0,82288
278,702001-2725,BRF Lavetten 11,1906.0,270898
279,702001-2766,BRF Laxöringen nr 2,,80655
280,702001-2832,BRF Halstret 5 i Sollentuna,,270932
281,702001-2840,BRF Leran 6,1924.0,267315
282,702001-2907,BRF Liljan nr 33,1914.0,55919
283,702001-2923,HSB BRF Liljan i Stockholm,,43748
284,702001-2949,BF Lill-Jan upa,1895.0,83578
285,702001-3012,BRF Linden,1893.0,81558
286,702001-3061,BRF Linné,1895.0,274830
287,702001-3095,HSB BRF Liseberg i Stockholm ,1957.0,52312
288,702001-3137,BRF Ljuset,1930.0,47145
289,702001-3236,BF Lundagård u.p.a,1904.0,79745
290,702001-3251,HSB BRF Lurö i Stockholm,1959.0,48781
291,702001-3418,BF Lyran u.p.a,1886.0,82899
292,702001-3426,BRF Lützengatan n:o 5,1915.0,272973
293,702001-3491,BF N:o 11 kvarteret Lägret u.p.a.,,275183
294,702001-3509,BRF Lägret 10  N:O 10,1897.0,51885
295,702001-3624,HSB BRF Läskpapperet i Stockholm,1963.0,83720
296,702001-3632,HSB BRF Lödaren i Stockholm,1944.0,47719
297,702001-3749,BF Lövkojan upa,1904.0,259327
298,702001-3798,HSB BRF Magelungen i Stockholm,1956.0,48825
299,702001-3830,BRF Majsol,1902.0,76704
300,702001-3889,BRF Malmgården,,83248
301,702001-3897,HSB BRF Maltesholm i Stockholm,1957.0,46330
302,702001-3905,BRF Mangeln 14,,48062
303,702001-3921,BRF Hamnskär 1,,51192
304,702001-3939,BRF Stockelden Bandhagen,1958.0,81014
305,702001-3947,BRF Blidö 1,1958.0,49366
306,702001-3954,BRF Hamnskär 3,,58531
307,702001-3962,BRF Björkö 3,,45161
308,702001-3970,BRF Vindö,,48433
309,702001-3988,BRF Bäverdammen 2,1957.0,50275
310,702001-3996,BRF Adelsö 2,,44965
311,702001-4002,BRF Tosterö 3,1957.0,43463
312,702001-4010,BRF Hamnskär Nr 2,1958.0,81800
313,702001-4044,BRF Bjelken 10,1894.0,49660
314,702001-4077,HSB BRF Marketenteriet i Stockholm,1951.0,53839
315,702001-4085,HSB BRF Marmorn i Stockholm,1930.0,271931
316,702001-4119,HSB BRF Martallen i Stockholm,1944.0,81990
317,702001-4135,HSB BRF Masken i Stockholm,1965.0,47219
318,702001-4168,BF Matteus upa,,82885
319,702001-4176,BRF Mattishill Nr 11,,279344
320,702001-4291,HSB BRF Metern i Stockholm,1926.0,82768
321,702001-4333,BRF Midgård 26 ,,49621
322,702001-4358,BF Midgård upa,1896.0,49775
323,702001-4374,BRF Minnet nr 13,1944.0,78628
324,702001-4382,BRF Minnet 11,1944.0,81323
325,702001-4390,BRF Minnet nr 12,1944.0,267481
326,702001-4432,Bostadsföreningen Mjölner N:O 2 Upa,,80892
327,702001-4440,BRF Mjölner 1,,106697
328,702001-4465,BRF Modellen 7 ,1904.0,80958
329,702001-4572,HSB BRF Morkullan i  Stockholm,1929.0,49246
330,702001-4663,Bf Munin 37 UPA,1929.0,272758
331,702001-4721,Bf 7 Muttern u.p.a.,1917.0,273470
332,702001-4739,BF Muttern 12,1914.0,82581
333,702001-4747,BF Muttern 14,1916.0,57920
334,702001-4754,BRF Muttern 16,1913.0,75245
335,702001-4796,HSB BRF Myrstacken i Stockholm,1925.0,47439
336,702001-4804,BRF Målaren 1,,43260
337,702001-4838,BRF Månghörningen Nr,1929.0,82012
338,702001-4846,BRF Månghörningen Nr 8,1924.0,270051
339,702001-4895,HSB BRF Mälaren i Stockholm,1945.0,76255
340,702001-4929,Bf Mälarborgen upa  ,1889.0,277058
341,702001-4945,BRF Mälarbröderna 3 ,1937.0,54259
342,702001-4960,BRF Mälarvik,1927.0,82417
343,702001-5017,BRF Mässen i Stockholm,1938.0,52653
344,702001-5165,BF Nebulosan 1 u.p.a.,1881.0,51354
345,702001-5199,HSB BRF Nejlikan 31 & 33 i Stockholm,1926.0,81455
346,702001-5207,BF Nejlikan UPA,,48786
347,702001-5223,BRF Neptun,1925.0,79474
348,702001-5348,BRF Norden 9,,50334
349,702001-5355,BRF Norden 1,1878.0,47515
350,702001-5363,BF Norden nr 2,1884.0,78237
351,702001-5439,BF Norrbacka u.p.a.,,53678
352,702001-5447,BRF Norrby,,55449
353,702001-5462,BRF Norregård,,267884
354,702001-5470,Bostadsföreningen Norrgård U.p.a.,1907.0,269130
355,702001-5553,BF Nya Hemmet 1 u.p.a,,266934
356,702001-5561,HSB BRF Nya Humleboet i Stockholm,1929.0,57275
357,702001-5579,Bf Nya Hemmet nr 3,1929.0,277119
358,702001-5595,BF Nya Hemmet nr 2 u.p.a,,50553
359,702001-5603,BRF Nya Hemmet UPA,1929.0,273302
360,702001-5660,BF Nybygget Upa,1904.0,271634
361,702001-5678,BRF Nygård,,269251
362,702001-5728,BRF Nytorgspalatset,1930.0,79791
363,702001-5850,BF Oden upa,1915.0,57190
364,702001-5884,HSB BRF Offergärden i Skondal,1959.0,271169
365,702001-5934,BRF Oljemålningen 8,,83245
366,702001-5942,BRF Oljemålningen nr 1,1942.0,83738
367,702001-5975,BRF Omega,1958.0,272767
368,702001-5991,BRF Omnibussen 15,1963.0,78705
369,702001-6007,BRF Opalen 2,1912.0,83642
370,702001-6015,BRF Opalen 8,1926.0,49359
371,702001-6023,BRF Oporto Nr 3,1943.0,51629
372,702001-6114,BRF Ormen Större Nr 17,1911.0,83408
373,702001-6189,BRF Ornamentet 5,1944.0,53019
374,702001-6205,BRF Oscar,1897.0,80534
375,702001-6304,BF Oxeln u.p.a.,1914.0,267823
376,702001-6429,BRF Pappersdraken n:r 1,,278901
377,702001-6452,BF nr 15 Paris u.p.a.,1898.0,266687
378,702001-6460,BRF Parken nr 2,1923.0,77863
379,702001-6494,HSB Brf Parkeringsljuset i Stockholm,1968.0,76199
380,702001-6502,BRF Högalidsparken,1913.0,122305
381,702001-6510,BF Parken 2 Enskede u.p.a,1912.0,254679
382,702001-6528,BRF Parkkronan,1886.0,271819
383,702001-6643,HSB BRF Pergolan i Stockholm,1945.0,54852
384,702001-6684,BRF Pilastern nr 1,1942.0,58331
385,702001-6692,BRF Pilen,1898.0,49685
386,702001-6734,BF Pionen U.P.A.,1904.0,79396
387,702001-6742,BRF Pionen 4,1907.0,139576
388,702001-6858,BF Plöjaren upa,1925.0,43652
389,702001-6890,BRF Pontonjärkasern i Stockholm,1931.0,48381
390,702001-6981,BRF Postiljonen,1927.0,46155
391,702001-7070,BRF Predikanten,1961.0,272332
392,702001-7161,BRF Gamla Prästgården,1905.0,79298
393,702001-7237,BF Pålen u p a,1913.0,47473
394,702001-7286,HSB BRF Pålsundet i Stockholm,1943.0,81597
395,702001-7310,BRF Pärlan,,45355
396,702001-7328,HSB BRF Bohus i Stockholm,1974.0,46754
397,702001-7344,HSB BRF Päronet nr 7 i Stockholm,1971.0,82627
398,702001-7401,BRF Radiosändaren,1944.0,45569
399,702001-7500,BRF Record,1909.0,267084
400,702001-7559,HSB BRF Reimer i Stockholm,1944.0,79301
401,702001-7567,BRF Renen 1910,,61043
402,702001-7575,BRF Kvarteret Renen 16,1883.0,81451
403,702001-7617,BF Renstjärnan u.p.a,1911.0,96623
404,702001-7708,BRF Rex UPA,1910.0,142178
405,702001-7807,BRF Riksby,1942.0,54027
406,702001-7922,BRF Rindögården,1939.0,77756
407,702001-7997,HSB BRF Ritstiftet i Stockholm,1953.0,51233
408,702001-8011,BRF Roddaren 27,1908.0,83718
409,702001-8029,Bostadsföreningen Roddaren 29,1911.0,242112
410,702001-8037,HSB BRF Rodret i Stockholm,1932.0,81418
411,702001-8045,BRF Rodret 2,,83170
412,702001-8078,BF Rosen 17 upa,1898.0,54284
413,702001-8086,BRF Rosendal U.P.A.,1896.0,84084
414,702001-8102,BRF Rosen 19,1920.0,269063
415,702001-8110,BF Rosen u p a,1887.0,86639
416,702001-8136,BF Rosengården upa,1883.0,278214
417,702001-8185,BRF Rosenlunden,1912.0,271793
418,702001-8227,BRF Roslagsgården,1903.0,77977
419,702001-8276,BF Roslagen UPA,1929.0,50068
420,702001-8284,BRF Rosvik,1898.0,57749
421,702001-8326,BF Runan u.p.a.,,252677
422,702001-8417,BRF Ryttaren,1923.0,77663
423,702001-8466,BF Rådjuret upa,1882.0,273021
424,702001-8474,HSB BRF Rågstacken i Stockholm,1962.0,48229
425,702001-8482,BRF Rålambshov 4,1944.0,56582
426,702001-8540,HSB BRF Rödstjärten i Stockholm,1945.0,50551
427,702001-8623,BRF Rörstrand 4,1927.0,59610
428,702001-8680,BRF Sagan,1890.0,79334
429,702001-8805,BF Sandberget Upa,1905.0,81499
430,702001-8839,BRF Sannadalsplatån,1959.0,49993
431,702001-8847,HSB BRF Saxen i Stockholm,1943.0,51704
432,702001-8888,BRF Schultz no 8,1883.0,83644
433,702001-8904,BRF Secur,1939.0,80710
434,702001-9027,BRF Serpentinen,1959.0,58597
435,702001-9043,BRF Sevmund,1958.0,79368
436,702001-9084,BF Sibyllan u.p.a,,269240
437,702001-9092,BRF Sibyllegatan 14,1929.0,272530
438,702001-9167,HSB BRF Sigismund Nr 8 i Stockholm,1964.0,52997
439,702001-9183,BRF Signalisten nr 3,1944.0,79836
440,702001-9209,HSB BRF Siljan i Stockholm,,50061
441,702001-9308,BF Sirius nr 18 u.p.a.,,228348
442,702001-9423,BRF Sjöträdgården,1958.0,282017
443,702001-9456,BRF Skandia,1903.0,80328
444,702001-9480,HSB BRF Skarpö i Stockholm,1962.0,50693
445,702001-9522,BRF Skatan 4,1915.0,136440
446,702001-9720,HSB BRF Skogvaktaren i Stockholm,1945.0,49774
447,702001-9746,BRF Skolmästaren 10,,148768
448,702001-9753,BRF Skolmästaren 1,1942.0,267401
449,702001-9829,BF Skruven N:R 10 U.P.A.,1926.0,83244
450,702001-9860,BRF Skulptören Nr 1,,49457
451,702001-9944,BRF Skålen Nr 11,,48349
452,702001-9951,BRF Skålen 18,1913.0,47081
453,702001-9969,BRF Skånegård,1909.0,271435
454,702002-0017,BRF Skärmabrink nr 2,1943.0,81208
455,702002-0025,BRF Skärmarbrink Nr 3,1943.0,82867
456,702002-0041,HSB BRF Sköndal i Stockholm,1956.0,270060
457,702002-0058,BRF Skönstavik,1953.0,83423
458,702002-0082,BRF Skörden,2003.0,54732
459,702002-0108,BRF Slaggvarpen 5,,269414
460,702002-0207,BRF Sländan 9,1916.0,272869
461,702002-0223,BF Smedjan upa,,54646
462,702002-0231,Bf Smedjan 9 & 10 upa,,276690
463,702002-0306,BRF Smältan nr 9,,267705
464,702002-0314,Bf Smältan nr 1 upa,,275532
465,702002-0371,BRF Snigeln,1929.0,269346
466,702002-0488,BRF Sofia 81,1913.0,272238
467,702002-0504,BRF Solbacken,1958.0,270041
468,702002-0538,BRF Solgården i Stockholm,1918.0,57820
469,702002-0561,BRF Solhöjden 2,1938.0,267433
470,702002-0579,BF Solid u p a,1901.0,82030
471,702002-0611,BRF Solliden,,81441
472,702002-0694,BRF Solsidan 3,1897.0,273962
473,702002-0892,HSB BRF Spiralen i Stockholm,1959.0,56538
474,702002-1189,BRF Stallmästaren nr 17,1970.0,81588
475,702002-1197,BRF Staren nr 9,,47831
476,702002-1213,BRF Staren 15,,270190
477,702002-1221,BRF Staren 2,,78807
478,702002-1346,BRF Stendiket,1910.0,284010
479,702002-1478,BRF Stinsen 8,1943.0,58587
480,702002-1486,BRF Stinsen,1942.0,77950
481,702002-1494,BF Stjernfallet upa,1881.0,45412
482,702002-1601,Riksbyggen BRF Tre Damer,1956.0,48488
483,702002-1619,"Brf Mirabellen Hässelby, Medlem i HSB",1957.0,273715
484,702002-1627,Riksbyggen BRF Stockholmshus nr 17,1960.0,45846
485,702002-1635,Brf Sirapen,1961.0,82193
486,702002-1643,Riksbyggen BRF Idlången 21,1963.0,55087
487,702002-1650,BRF Mysslingen,1960.0,48137
488,702002-1668,BRF Kapprocken,1955.0,48728
489,702002-1676,Riksbyggen BRF Stockholmshus 19,1963.0,52375
490,702002-1684,BRF Stockholmshus 12,1949.0,49409
491,702002-1692,Riksbyggen BRF Friheten,1954.0,50532
492,702002-1700,BRF Stockholmshus nr 9,1945.0,47995
